ALBANIA,Albania
ALGERIA,Algeria
AMERI SAMOA,American Samoa
ANDORRA,Andorra
ANGOLA,Angola
ANGUILLA,Anguilla
ANTARTICA,Antarctica
ANTIGUA,Antigua and Barbuda
ARGENTINA,Argentina
ARMENIA,Armenia
ARUBA,Aruba
AUSTRALIA,Australia
AUSTRIA,Austria
AZERBAIJAN,Azerbaijan
BAHAMAS,"Bahamas, The"
BAHARAIN IS,Bahrain
BANGLADESH PR,Bangladesh
BARBADOS,Barbados
BELARUS,Belarus
BELGIUM,Belgium
BELIZE,Belize
BENIN,Benin
BERMUDA,Bermuda
BHUTAN,Bhutan
BOLIVIA,Bolivia
BOSNIA-HRZGOVIN,Bosnia and Herzegovina
BOTSWANA,Botswana
BR VIRGN IS,British Virgin Islands
BRAZIL,Brazil
BRUNEI,Brunei
BULGARIA,Bulgaria
BURKINA FASO,Burkina Faso
BURUNDI,Burundi
C AFRI REP,Central African Republic
CAMBODIA,Cambodia
CAMEROON,Cameroon
CANADA,Canada
CAPE VERDE IS,Cape Verde
CAYMAN IS,Cayman Islands
CHAD,Chad
CHILE,Chile
CHINA P RP,China
CHRISTMAS IS.,Christmas Island
COCOS IS,Cocos (Keeling) Islands
COLOMBIA,Colombia
COMOROS,Comoros
CONGO D. REP.,"Congo, Democratic Republic of the"
CONGO P REP,"Congo, Republic of the"
COOK IS,Cook Islands
COSTA RICA,Costa Rica
COTE D' IVOIRE,Cote d'Ivoire
CROATIA,Croatia
CUBA,Cuba
CYPRUS,Cyprus
CZECH REPUBLIC,Czech Republic
DENMARK,Denmark
DJIBOUTI,Djibouti
DOMINIC REP,Dominican Republic
DOMINICA,Dominica
ECUADOR,Ecuador
EGYPT A RP,Egypt
EL SALVADOR,El Salvador
EQUTL GUINEA,Equatorial Guinea
ERITREA,Eritrea
ESTONIA,Estonia
ETHIOPIA,Ethiopia
FALKLAND IS,Falkland Islands (Islas Malvinas)
FAROE IS.,Faroe Islands
FIJI IS,Fiji
FINLAND,Finland
FR POLYNESIA,French Polynesia
FR S ANT TR,French Southern and Antarctic Lands
FRANCE,France
GABON,Gabon
GAMBIA,"Gambia, The"
GEORGIA,Georgia
GERMANY,Germany
GHANA,Ghana
GIBRALTAR,Gibraltar
GREECE,Greece
GREENLAND,Greenland
GRENADA,Grenada
GUATEMALA,Guatemala
GUERNSEY,Guernsey
GUINEA,Guinea
GUINEA BISSAU,Guinea-Bissau
GUYANA,Guyana
HAITI,Haiti
HONDURAS,Honduras
HONG KONG,Hong Kong
HUNGARY,Hungary
ICELAND,Iceland
INDONESIA,Indonesia
IRAN,Iran
IRAQ,Iraq
IRELAND,Ireland
ISRAEL,Israel
ITALY,Italy
JAMAICA,Jamaica
JAPAN,Japan
JERSEY         ,Jersey
JORDAN,Jordan
KAZAKHSTAN,Kazakhstan
KENYA,Kenya
KIRIBATI REP,Kiribati
KOREA DP RP,"Korea, North"
KOREA RP,"Korea, South"
KUWAIT,Kuwait
KYRGHYZSTAN,Kyrgyzstan
LAO PD RP,Laos
LATVIA,Latvia
LEBANON,Lebanon
LESOTHO,Lesotho
LIBERIA,Liberia
LIBYA,Libya
LIECHTENSTEIN,Liechtenstein
LITHUANIA,Lithuania
LUXEMBOURG,Luxembourg
MACAO,Macau
MACEDONIA,Macedonia
MADAGASCAR,Madagascar
MALAWI,Malawi
MALAYSIA,Malaysia
MALDIVES,Maldives
MALI,Mali
MALTA,Malta
MARSHALL ISLAND,Marshall Islands
MAURITANIA,Mauritania
MAURITIUS,Mauritius
MAYOTTE,Mayotte
MEXICO,Mexico
MICRONESIA,"Micronesia, Federated States of"
MOLDOVA,Moldova
MONACO,Monaco
MONGOLIA,Mongolia
MONTENEGRO,Montenegro
MONTSERRAT,Montserrat
MOROCCO,Morocco
MOZAMBIQUE,Mozambique
NAMIBIA,Namibia
NAURU RP,Nauru
NEPAL,Nepal
NETHERLAND,Netherlands
NETHERLANDANTIL,Netherlands Antilles
NEW CALEDONIA,New Caledonia
NEW ZEALAND,New Zealand
NICARAGUA,Nicaragua
NIGER,Niger
NIGERIA,Nigeria
NIUE IS,Niue
NORFOLK IS,Norfolk Island
NORWAY,Northern Mariana Islands
OMAN,Norway
PACIFIC IS,Oman
PAKISTAN IR,Pakistan
PALAU,Palau
PANAMA C Z,Panama
PAPUA N GNA,Papua New Guinea
PARAGUAY,Paraguay
PERU,Peru
PHILIPPINES,Philippines
PITCAIRN IS.,Pitcairn Islands
POLAND,Poland
PORTUGAL,Portugal
PUERTO RICO,Puerto Rico
QATAR,Qatar
ROMANIA,Romania
RUSSIA,Russia
RWANDA,Rwanda
SAMOA,Samoa
SAN MARINO,San Marino
SAO TOME,Sao Tome and Principe
SAUDI ARAB,Saudi Arabia
SENEGAL,Senegal
SERBIA,Serbia
SEYCHELLES,Seychelles
SIERRA LEONE,Sierra Leone
SINGAPORE,Singapore
SINT MAARTEN (DUTCH PART),Saint Martin
SLOVAK REP,Slovakia
SLOVENIA,Slovenia
SOLOMON IS,Solomon Islands
SOMALIA,Somalia
SOUTH AFRICA,South Africa
SOUTH SUDAN ,South Sudan
SPAIN,Spain
SRI LANKA DSR,Sri Lanka
ST HELENA,"Saint Helena, Ascension, and Tristan da Cunha"
ST KITT N A,Saint Kitts and Nevis
ST LUCIA,Saint Lucia
ST PIERRE,Saint Pierre and Miquelon
ST VINCENT,Saint Vincent and the Grenadines
SUDAN,Sudan
SURINAME,Suriname
SWAZILAND,Swaziland
SWEDEN,Sweden
SWITZERLAND,Switzerland
SYRIA,Syria
TAIWAN,Taiwan
TAJIKISTAN,Tajikistan
TANZANIA REP,Tanzania
THAILAND,Thailand
TIMOR LESTE,Timor-Leste
TOGO,Togo
TOKELAU IS,Tokelau
TONGA,Tonga
TRINIDAD,Trinidad and Tobago
TUNISIA,Tunisia
TURKEY,Turkey
TURKMENISTAN,Turkmenistan
TURKS C IS,Turks and Caicos Islands
TUVALU,Tuvalu
U ARAB EMTS,United Arab Emirates
U K,United Kingdom
U S A,United States
UGANDA,Uganda
UKRAINE,Ukraine
URUGUAY,Uruguay
UZBEKISTAN,Uzbekistan
VANUATU REP,Vanuatu
VATICAN CITY,Holy See (Vatican City)
VENEZUELA,Venezuela
VIETNAM SOC REP,Vietnam
VIRGIN IS US,Virgin Islands
WALLIS F IS,Wallis and Futuna
SAHARWI A.DM RP,Western Sahara
YEMEN REPUBLC,Yemen
ZAMBIA,Zambia
ZIMBABWE,Zimbabwe
AFGHANISTAN TIS,Afghanistan
